16:03:12.736 -> Humidity: 41.60 %, Temp: 27.20 Celsius
16:05:15.220 -> Humidity: 32.30 %, Temp: 26.30 Celsius
16:05:17.231 -> Humidity: 32.20 %, Temp: 26.20 Celsius
16:05:19.242 -> Humidity: 32.20 %, Temp: 26.20 Celsius
16:05:21.259 -> Humidity: 32.20 %, Temp: 26.20 Celsius
16:05:23.248 -> Humidity: 32.20 %, Temp: 26.20 Celsius
16:05:25.259 -> Humidity: 32.10 %, Temp: 26.20 Celsius
16:05:27.278 -> Humidity: 32.20 %, Temp: 26.20 Celsius
16:05:29.293 -> Humidity: 32.30 %, Temp: 26.20 Celsius
16:05:31.293 -> Humidity: 32.70 %, Temp: 26.20 Celsius
16:05:33.314 -> Humidity: 33.00 %, Temp: 26.10 Celsius
16:05:35.298 -> Humidity: 33.40 %, Temp: 26.10 Celsius
16:05:37.314 -> Humidity: 33.10 %, Temp: 26.10 Celsius
16:05:39.328 -> Humidity: 32.90 %, Temp: 26.10 Celsius
16:05:41.349 -> Humidity: 32.80 %, Temp: 26.10 Celsius
16:05:43.324 -> Humidity: 32.80 %, Temp: 26.10 Celsius
16:05:45.338 -> Humidity: 32.90 %, Temp: 26.10 Celsius
16:05:47.367 -> Humidity: 32.90 %, Temp: 26.10 Celsius
16:05:49.375 -> Humidity: 32.80 %, Temp: 26.10 Celsius
16:05:51.361 -> Humidity: 32.70 %, Temp: 26.10 Celsius
16:05:53.378 -> Humidity: 32.60 %, Temp: 26.10 Celsius
16:05:55.373 -> Humidity: 32.70 %, Temp: 26.10 Celsius
16:05:57.408 -> Humidity: 32.70 %, Temp: 26.10 Celsius
16:05:59.395 -> Humidity: 32.70 %, Temp: 26.10 Celsius
16:06:01.425 -> Humidity: 32.60 %, Temp: 26.00 Celsius
16:06:03.416 -> Humidity: 32.70 %, Temp: 26.10 Celsius
16:06:05.436 -> Humidity: 32.60 %, Temp: 26.00 Celsius
16:06:07.425 -> Humidity: 32.60 %, Temp: 26.00 Celsius
16:06:09.442 -> Humidity: 32.70 %, Temp: 26.00 Celsius
16:06:11.444 -> Humidity: 32.70 %, Temp: 26.00 Celsius
16:06:13.464 -> Humidity: 32.70 %, Temp: 26.00 Celsius
16:06:15.476 -> Humidity: 32.70 %, Temp: 26.00 Celsius
16:06:17.470 -> Humidity: 32.70 %, Temp: 26.00 Celsius
16:06:19.481 -> Humidity: 32.70 %, Temp: 26.00 Celsius
16:06:21.494 -> Humidity: 32.60 %, Temp: 26.00 Celsius
16:06:23.506 -> Humidity: 32.50 %, Temp: 25.90 Celsius
16:06:25.514 -> Humidity: 32.60 %, Temp: 25.90 Celsius
16:06:27.523 -> Humidity: 32.70 %, Temp: 25.90 Celsius
16:06:29.532 -> Humidity: 32.70 %, Temp: 25.90 Celsius
16:06:31.545 -> Humidity: 32.90 %, Temp: 25.90 Celsius
16:06:33.557 -> Humidity: 32.90 %, Temp: 25.90 Celsius
16:06:35.548 -> Humidity: 33.00 %, Temp: 25.90 Celsius
16:06:37.566 -> Humidity: 33.00 %, Temp: 25.90 Celsius
16:06:39.582 -> Humidity: 33.00 %, Temp: 25.80 Celsius
16:06:41.590 -> Humidity: 33.00 %, Temp: 25.80 Celsius
16:06:43.595 -> Humidity: 33.00 %, Temp: 25.80 Celsius
16:06:45.604 -> Humidity: 32.80 %, Temp: 25.80 Celsius
16:06:47.606 -> Humidity: 32.70 %, Temp: 25.80 Celsius
16:06:49.616 -> Humidity: 32.70 %, Temp: 25.80 Celsius
16:06:51.625 -> Humidity: 32.70 %, Temp: 25.80 Celsius
16:06:53.633 -> Humidity: 32.80 %, Temp: 25.80 Celsius
16:06:55.632 -> Humidity: 32.80 %, Temp: 25.80 Celsius
16:06:57.643 -> Humidity: 32.80 %, Temp: 25.80 Celsius
16:06:59.665 -> Humidity: 32.80 %, Temp: 25.70 Celsius
16:07:01.674 -> Humidity: 32.70 %, Temp: 25.70 Celsius
16:07:03.656 -> Humidity: 32.80 %, Temp: 25.70 Celsius
16:07:05.674 -> Humidity: 32.90 %, Temp: 25.70 Celsius
16:07:07.680 -> Humidity: 33.20 %, Temp: 25.70 Celsius
16:07:09.684 -> Humidity: 33.30 %, Temp: 25.70 Celsius
16:07:11.721 -> Humidity: 33.30 %, Temp: 25.70 Celsius
16:07:13.709 -> Humidity: 33.20 %, Temp: 25.70 Celsius
16:07:15.712 -> Humidity: 33.10 %, Temp: 25.70 Celsius
16:07:17.743 -> Humidity: 33.10 %, Temp: 25.70 Celsius
16:07:19.731 -> Humidity: 33.10 %, Temp: 25.70 Celsius
16:07:21.753 -> Humidity: 33.10 %, Temp: 25.70 Celsius
16:07:23.757 -> Humidity: 33.10 %, Temp: 25.70 Celsius
16:07:25.749 -> Humidity: 33.10 %, Temp: 25.70 Celsius
16:07:27.775 -> Humidity: 33.10 %, Temp: 25.70 Celsius
16:07:29.774 -> Humidity: 33.10 %, Temp: 25.70 Celsius
16:07:31.782 -> Humidity: 33.20 %, Temp: 25.70 Celsius
16:07:33.771 -> Humidity: 33.10 %, Temp: 25.70 Celsius
16:07:35.780 -> Humidity: 32.90 %, Temp: 25.60 Celsius
16:07:37.806 -> Humidity: 33.10 %, Temp: 25.70 Celsius
16:07:39.824 -> Humidity: 33.00 %, Temp: 25.60 Celsius
16:07:41.816 -> Humidity: 33.10 %, Temp: 25.60 Celsius
16:07:43.841 -> Humidity: 33.10 %, Temp: 25.60 Celsius
16:07:45.842 -> Humidity: 33.20 %, Temp: 25.60 Celsius
16:07:47.830 -> Humidity: 33.20 %, Temp: 25.60 Celsius
16:07:49.857 -> Humidity: 33.10 %, Temp: 25.60 Celsius
16:07:51.863 -> Humidity: 33.10 %, Temp: 25.60 Celsius
16:07:53.870 -> Humidity: 33.20 %, Temp: 25.60 Celsius
16:07:55.875 -> Humidity: 33.40 %, Temp: 25.60 Celsius
16:07:57.891 -> Humidity: 33.40 %, Temp: 25.60 Celsius
16:07:59.902 -> Humidity: 33.30 %, Temp: 25.60 Celsius
16:08:01.912 -> Humidity: 33.30 %, Temp: 25.60 Celsius
16:08:03.898 -> Humidity: 33.20 %, Temp: 25.60 Celsius
16:08:05.918 -> Humidity: 33.10 %, Temp: 25.60 Celsius
16:08:07.910 -> Humidity: 33.10 %, Temp: 25.60 Celsius
16:08:09.945 -> Humidity: 33.10 %, Temp: 25.50 Celsius
16:08:11.956 -> Humidity: 33.30 %, Temp: 25.50 Celsius
16:08:13.954 -> Humidity: 33.30 %, Temp: 25.50 Celsius
16:08:15.976 -> Humidity: 33.10 %, Temp: 25.50 Celsius
16:08:17.969 -> Humidity: 33.10 %, Temp: 25.50 Celsius
16:08:19.992 -> Humidity: 33.20 %, Temp: 25.50 Celsius
16:08:21.981 -> Humidity: 33.10 %, Temp: 25.50 Celsius
16:08:23.985 -> Humidity: 33.10 %, Temp: 25.50 Celsius
16:08:25.992 -> Humidity: 33.10 %, Temp: 25.50 Celsius
16:08:28.010 -> Humidity: 33.00 %, Temp: 25.50 Celsius
16:08:30.021 -> Humidity: 33.00 %, Temp: 25.50 Celsius
16:08:32.024 -> Humidity: 33.10 %, Temp: 25.50 Celsius
16:08:34.028 -> Humidity: 33.30 %, Temp: 25.50 Celsius
